E(V)	i(A/cm²)	T(s)
3.26228E+00	-3.35080E-01	0.00000
3.26204E+00	-3.36934E-01	1.00000
3.26154E+00	-3.44025E-01	2.00000
3.26107E+00	-3.49826E-01	3.00000
3.26056E+00	-3.57002E-01	4.00000
3.26004E+00	-3.65208E-01	5.00000
3.25955E+00	-3.72094E-01	6.00000
3.25907E+00	-3.78731E-01	7.00000
3.25856E+00	-3.86625E-01	8.00000
3.25805E+00	-3.94398E-01	9.00000
3.25757E+00	-4.01032E-01	10.00000
3.25707E+00	-4.08400E-01	11.00000
3.25654E+00	-4.16717E-01	12.00000
3.25604E+00	-4.24098E-01	13.00000
3.25558E+00	-4.30378E-01	14.00000
3.25507E+00	-4.38156E-01	15.00000
3.25454E+00	-4.46423E-01	16.00000
3.25406E+00	-4.52921E-01	17.00000
3.25358E+00	-4.59673E-01	18.00000
3.25306E+00	-4.67726E-01	19.00000
3.25255E+00	-4.75167E-01	20.00000
3.25208E+00	-4.81378E-01	21.00000
3.25158E+00	-4.88487E-01	22.00000
3.25107E+00	-4.96422E-01	23.00000
3.25058E+00	-5.03258E-01	24.00000
3.25011E+00	-5.09276E-01	25.00000
3.24960E+00	-5.16801E-01	26.00000
3.24908E+00	-5.24509E-01	27.00000
3.24861E+00	-5.30583E-01	28.00000
3.24811E+00	-5.37372E-01	29.00000
3.24759E+00	-5.45264E-01	30.00000
3.24708E+00	-5.52352E-01	31.00000
3.24661E+00	-5.58199E-01	32.00000
3.24611E+00	-5.65256E-01	33.00000
3.24559E+00	-5.72932E-01	34.00000
3.24511E+00	-5.79083E-01	35.00000
3.24462E+00	-5.85243E-01	36.00000
3.24410E+00	-5.92761E-01	37.00000
3.24360E+00	-5.99768E-01	38.00000
3.24313E+00	-6.05326E-01	39.00000
3.24263E+00	-6.12007E-01	40.00000
3.24210E+00	-6.19502E-01	41.00000
3.24161E+00	-6.25859E-01	42.00000
3.24113E+00	-6.31543E-01	43.00000
3.24062E+00	-6.38521E-01	44.00000
3.24011E+00	-6.45800E-01	45.00000
3.23962E+00	-6.51621E-01	46.00000
3.23914E+00	-6.57544E-01	47.00000
3.23862E+00	-6.64570E-01	48.00000
3.23812E+00	-6.71227E-01	49.00000
3.23764E+00	-6.76651E-01	50.00000
3.23714E+00	-6.83180E-01	51.00000
3.23662E+00	-6.90249E-01	52.00000
3.23613E+00	-6.96050E-01	53.00000
3.23565E+00	-7.01628E-01	54.00000
3.23514E+00	-7.08423E-01	55.00000
3.23463E+00	-7.15266E-01	56.00000
3.23414E+00	-7.20711E-01	57.00000
3.23365E+00	-7.26545E-01	58.00000
3.23314E+00	-7.33343E-01	59.00000
3.23263E+00	-7.39548E-01	60.00000
3.23216E+00	-7.44625E-01	61.00000
3.23165E+00	-7.50899E-01	62.00000
3.23114E+00	-7.57748E-01	63.00000
3.23065E+00	-7.63176E-01	64.00000
3.23017E+00	-7.68517E-01	65.00000
3.22966E+00	-7.74993E-01	66.00000
3.22915E+00	-7.81442E-01	67.00000
3.22867E+00	-7.86693E-01	68.00000
3.22817E+00	-7.92496E-01	69.00000
3.22766E+00	-7.99126E-01	70.00000
3.22716E+00	-8.04694E-01	71.00000
3.22669E+00	-8.09615E-01	72.00000
3.22617E+00	-8.16267E-01	73.00000
3.22565E+00	-8.23118E-01	74.00000
3.22517E+00	-8.28145E-01	75.00000
3.22469E+00	-8.33194E-01	76.00000
3.22418E+00	-8.39650E-01	77.00000
3.22367E+00	-8.45808E-01	78.00000
3.22319E+00	-8.50545E-01	79.00000
3.22270E+00	-8.56449E-01	80.00000
3.22217E+00	-8.63214E-01	81.00000
3.22168E+00	-8.68669E-01	82.00000
3.22121E+00	-8.73401E-01	83.00000
3.22070E+00	-8.79397E-01	84.00000
3.22018E+00	-8.85686E-01	85.00000
3.21970E+00	-8.90601E-01	86.00000
3.21921E+00	-8.96082E-01	87.00000
3.21869E+00	-9.02577E-01	88.00000
3.21819E+00	-9.08308E-01	89.00000
3.21771E+00	-9.12978E-01	90.00000
3.21721E+00	-9.18891E-01	91.00000
3.21668E+00	-9.25407E-01	92.00000
3.21620E+00	-9.30401E-01	93.00000
3.21572E+00	-9.35340E-01	94.00000
3.21520E+00	-9.41688E-01	95.00000
3.21469E+00	-9.47626E-01	96.00000
3.21422E+00	-9.52126E-01	97.00000
3.21373E+00	-9.57458E-01	98.00000
3.21321E+00	-9.63852E-01	99.00000
3.21271E+00	-9.69233E-01	100.00000
3.21223E+00	-9.73825E-01	101.00000
3.21172E+00	-9.79768E-01	102.00000
3.21121E+00	-9.85880E-01	103.00000
3.21073E+00	-9.90485E-01	104.00000
3.21024E+00	-9.95613E-01	105.00000
3.20972E+00	-1.00206E+00	106.00000
3.20922E+00	-1.00775E+00	107.00000
3.20875E+00	-1.01219E+00	108.00000
3.20824E+00	-1.01788E+00	109.00000
3.20772E+00	-1.02425E+00	110.00000
3.20723E+00	-1.02934E+00	111.00000
3.20674E+00	-1.03414E+00	112.00000
3.20624E+00	-1.04000E+00	113.00000
3.20573E+00	-1.04594E+00	114.00000
3.20525E+00	-1.05055E+00	115.00000
3.20476E+00	-1.05578E+00	116.00000
3.20423E+00	-1.06210E+00	117.00000
3.20374E+00	-1.06750E+00	118.00000
3.20326E+00	-1.07196E+00	119.00000
3.20275E+00	-1.07781E+00	120.00000
3.20224E+00	-1.08395E+00	121.00000
3.20176E+00	-1.08863E+00	122.00000
3.20127E+00	-1.09347E+00	123.00000
3.20076E+00	-1.09950E+00	124.00000
3.20025E+00	-1.10521E+00	125.00000
3.19977E+00	-1.10967E+00	126.00000
3.19928E+00	-1.11504E+00	127.00000
3.19876E+00	-1.12112E+00	128.00000
3.19827E+00	-1.12638E+00	129.00000
3.19779E+00	-1.13098E+00	130.00000
3.19728E+00	-1.13679E+00	131.00000
3.19676E+00	-1.14306E+00	132.00000
3.19627E+00	-1.14785E+00	133.00000
3.19578E+00	-1.15303E+00	134.00000
3.19526E+00	-1.15922E+00	135.00000
3.19476E+00	-1.16486E+00	136.00000
3.19428E+00	-1.16955E+00	137.00000
3.19377E+00	-1.17520E+00	138.00000
3.19325E+00	-1.18149E+00	139.00000
3.19277E+00	-1.18652E+00	140.00000
3.19229E+00	-1.19119E+00	141.00000
3.19178E+00	-1.19700E+00	142.00000
3.19127E+00	-1.20307E+00	143.00000
3.19079E+00	-1.20790E+00	144.00000
3.19029E+00	-1.21323E+00	145.00000
3.18978E+00	-1.21942E+00	146.00000
3.18928E+00	-1.22483E+00	147.00000
3.18881E+00	-1.22935E+00	148.00000
3.18830E+00	-1.23534E+00	149.00000
3.18778E+00	-1.24167E+00	150.00000
3.18731E+00	-1.24642E+00	151.00000
3.18681E+00	-1.25161E+00	152.00000
3.18629E+00	-1.25803E+00	153.00000
3.18578E+00	-1.26396E+00	154.00000
3.18531E+00	-1.26859E+00	155.00000
3.18481E+00	-1.27430E+00	156.00000
3.18429E+00	-1.28077E+00	157.00000
3.18380E+00	-1.28584E+00	158.00000
3.18334E+00	-1.29041E+00	159.00000
3.18282E+00	-1.29678E+00	160.00000
3.18230E+00	-1.30333E+00	161.00000
3.18182E+00	-1.30809E+00	162.00000
3.18134E+00	-1.31317E+00	163.00000
3.18082E+00	-1.31965E+00	164.00000
3.18031E+00	-1.32565E+00	165.00000
3.17984E+00	-1.33041E+00	166.00000
3.17934E+00	-1.33649E+00	167.00000
3.17881E+00	-1.34314E+00	168.00000
3.17832E+00	-1.34838E+00	169.00000
3.17784E+00	-1.35354E+00	170.00000
3.17733E+00	-1.36001E+00	171.00000
3.17683E+00	-1.36630E+00	172.00000
3.17635E+00	-1.37127E+00	173.00000
3.17585E+00	-1.37697E+00	174.00000
3.17533E+00	-1.38356E+00	175.00000
3.17484E+00	-1.38933E+00	176.00000
3.17437E+00	-1.39420E+00	177.00000
3.17386E+00	-1.40043E+00	178.00000
3.17334E+00	-1.40723E+00	179.00000
3.17286E+00	-1.41255E+00	180.00000
