Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.33868813514709	6.30341E+00	1.20184E-01	4.88671E-02	1.29739E-01	22.1267	0
7.91234E+03	10	3.33868813514709	7.81362E+00	1.18774E-01	3.79499E-02	1.24690E-01	17.7193	0
6.26052E+03	10	3.33868813514709	9.40820E+00	1.17935E-01	2.93381E-02	1.21529E-01	13.9696	0
4.95354E+03	10	3.33868813514709	1.10057E+01	1.17566E-01	2.30862E-02	1.19812E-01	11.1097	0
3.91941E+03	10	3.33868813514709	1.27132E+01	1.17400E-01	1.78955E-02	1.18756E-01	8.66696	0
3.10117E+03	10	3.33868813514709	1.45227E+01	1.17391E-01	1.38160E-02	1.18202E-01	6.71234	0
2.45375E+03	10	3.33868813514709	1.64553E+01	1.17444E-01	1.05419E-02	1.17916E-01	5.1292	0
1.94149E+03	10	3.33868813514709	1.80825E+01	1.17586E-01	8.09679E-03	1.17864E-01	3.93909	0
1.53618E+03	10	3.33868813514709	1.98423E+01	1.17790E-01	6.03356E-03	1.17944E-01	2.9323	0
1.21547E+03	10	3.33868813514709	2.17415E+01	1.17976E-01	4.42730E-03	1.18059E-01	2.14914	0
9.61725E+02	10	3.33868813514709	2.32543E+01	1.18614E-01	3.25598E-03	1.18659E-01	1.57239	0
7.60950E+02	10	3.33868813514709	2.48673E+01	1.18841E-01	2.23648E-03	1.18862E-01	1.07812	0
6.02090E+02	10	3.33868813514709	2.66579E+01	1.19024E-01	1.40549E-03	1.19032E-01	0.676543	0
4.76394E+02	10	3.33868813514709	2.86385E+01	1.19238E-01	7.20392E-04	1.19240E-01	0.346156	0
3.76939E+02	10	3.33868813514709	3.08818E+01	1.19494E-01	1.71269E-04	1.19494E-01	0.082121	0
2.98247E+02	10	3.33868813514709	3.34301E+01	1.19795E-01	-3.16113E-04	1.19795E-01	-0.151191	0
2.35983E+02	10	3.33868813514709	3.69921E+01	1.20911E-01	-6.23814E-04	1.20913E-01	-0.295602	0
1.86718E+02	10	3.33868813514709	4.04072E+01	1.21285E-01	-9.90923E-04	1.21289E-01	-0.468107	0
1.47738E+02	10	3.33868813514709	4.35798E+01	1.21638E-01	-1.27878E-03	1.21645E-01	-0.602328	0
1.16895E+02	10	3.33868813514709	4.73854E+01	1.22067E-01	-1.54525E-03	1.22077E-01	-0.725271	0
9.24915E+01	10	3.33868813514709	4.88553E+01	1.22143E-01	-1.21774E-03	1.22149E-01	-0.57121	0
7.31824E+01	10	3.33868813514709	5.04013E+01	1.22404E-01	-1.20891E-03	1.22410E-01	-0.565859	0
5.79045E+01	10	3.33868813514709	5.20787E+01	1.22625E-01	-1.21330E-03	1.22631E-01	-0.566888	0
4.58160E+01	10	3.33868813514709	5.30776E+01	1.22855E-01	-1.45873E-03	1.22864E-01	-0.680275	0
3.62512E+01	10	3.33868813514709	5.41434E+01	1.23140E-01	-1.12535E-03	1.23145E-01	-0.523599	0
2.86832E+01	10	3.33868813514709	5.53525E+01	1.22926E-01	-1.56952E-03	1.22936E-01	-0.731514	0
2.26951E+01	10	3.33868813514709	5.65455E+01	1.23352E-01	-1.34614E-03	1.23359E-01	-0.625246	0
1.79572E+01	10	3.33868813514709	5.78532E+01	1.23569E-01	-1.18039E-03	1.23575E-01	-0.5473	0
1.42083E+01	10	3.33868813514709	5.92721E+01	1.23702E-01	-1.11551E-03	1.23707E-01	-0.516659	0
1.12421E+01	10	3.33868813514709	6.08374E+01	1.23862E-01	-9.91787E-04	1.23866E-01	-0.458767	0
8.89514E+00	10	3.33868813514709	6.20336E+01	1.23797E-01	-9.59650E-04	1.23801E-01	-0.444136	0
7.03814E+00	10	3.33868813514709	6.33525E+01	1.23954E-01	-8.85478E-04	1.23957E-01	-0.409291	0
5.56882E+00	10	3.33868813514709	6.47221E+01	1.24025E-01	-8.77145E-04	1.24028E-01	-0.405207	0
4.40624E+00	10	3.33868813514709	6.62693E+01	1.24141E-01	-8.52787E-04	1.24144E-01	-0.393588	0
3.48637E+00	10	3.33868813514709	6.80055E+01	1.24241E-01	-8.09620E-04	1.24244E-01	-0.373364	0
2.75853E+00	10	3.33868813514709	6.99868E+01	1.24346E-01	-8.35496E-04	1.24349E-01	-0.384971	0
2.18265E+00	10	3.33868813514709	7.22928E+01	1.24427E-01	-8.38681E-04	1.24430E-01	-0.386186	0
1.72698E+00	10	3.33868813514709	7.49548E+01	1.24536E-01	-8.71271E-04	1.24539E-01	-0.400843	0
1.36645E+00	10	3.33868813514709	7.80963E+01	1.24593E-01	-8.78530E-04	1.24596E-01	-0.403997	0
1.08118E+00	10	3.33868813514709	8.18660E+01	1.24741E-01	-9.59301E-04	1.24745E-01	-0.440615	0
8.55468E-01	10	3.33868813514709	8.64329E+01	1.24823E-01	-1.00083E-03	1.24827E-01	-0.459387	0
6.76875E-01	10	3.33868813514709	9.19512E+01	1.24918E-01	-1.07140E-03	1.24922E-01	-0.491405	0
5.35567E-01	10	3.33868813514709	9.87011E+01	1.25086E-01	-1.16318E-03	1.25092E-01	-0.53278	0
4.23759E-01	10	3.33868813514709	1.06993E+02	1.25223E-01	-1.30259E-03	1.25230E-01	-0.595976	0
3.35293E-01	10	3.33868813514709	1.17246E+02	1.25389E-01	-1.38734E-03	1.25396E-01	-0.633913	0
2.65295E-01	10	3.33868813514709	1.25905E+02	1.25568E-01	-1.48493E-03	1.25577E-01	-0.677528	0
2.09910E-01	10	3.33868813514709	1.36497E+02	1.25780E-01	-1.64898E-03	1.25791E-01	-0.751104	0
1.66088E-01	10	3.33868813514709	1.49625E+02	1.25957E-01	-1.88988E-03	1.25971E-01	-0.859612	0
1.31415E-01	10	3.33868813514709	1.66000E+02	1.26073E-01	-2.12242E-03	1.26090E-01	-0.964478	0
1.03980E-01	10	3.33868813514709	1.86471E+02	1.26273E-01	-2.42202E-03	1.26296E-01	-1.09885	0
